"id","name","year","region","country","state","description","status","url","notes","age_verification","parental_consent","hours_of_access","parental_account_access","data_privacy","targeted_ads","algorithms_and_platform_design","pornographic_content","blocking_foreign_apps","artificial_intelligence","phones_in_schools","media_literacy","parental_controls","establish_commissions","social_media_tax","reporting_abuse","child_labor","screentime_notifications"
"SB195","Act to amend delaware code of media literacy",2022,"North America","USA","Delaware","This Act requires the Department of Education to develop and maintain evidence-based media literacy standards for use by school districts and charter schools serving students in grades kindergarten through 12.","passed","https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=78981&legislationTypeId=1&docTypeId=2&legislationName=SB195","passed",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"HB1224","Keeping Kids Safe Online Act",2026,"North America","USA","Mississippi","This bill establishes the ""Mississippi Keeping Kids Safe Online Act,"" requiring the Mississippi Department of Education to prepare and publish internet safety resources and create a social media safety curriculum for students in grades 6 through 12, and requires school districts to prohibit student access to social media platforms on school-provided internet. The bill also prohibits covered interactive computer service providers from making false or misleading statements to minors or their parents about a service's addictiveness, safety, or harmful effects.","passed","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTVMyMDI2MDAwSDEyMjQifQ.mMFms-cVrSXxTIXeo2GHgTeUlwDykhAsh39FgDRCD7k/text","passed",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"HB1160","Phones in schools",2025,"North America","USA","North Dakota","This bill requires each North Dakota school district to adopt and implement a policy prohibiting students from possessing or using personal electronic communication devices (such as smartphones, tablets, and smartwatches) during instructional time. The bill also requires school districts to annually collect data measuring the policy's impact on student behavior, mental health, disciplinary incidents, school attendance, and academic performance.","passed","https://legiscan.com/ND/bill/HB1160/2025?__cf_chl_f_tk=s58De2NRXSzgsvNNEochloooWgzt0dIOxcOSBESiLLs-1782958094-1.0.1.1-gHp90yNyPH_.tymo0DoDQGVR4HFqFNM42SRMCrZTHUg","passed",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HB5830","""COMMERCIAL LAW ‚Äî GENERAL REGULATORY PROVISIONS",2025,"North America","USA","Rhode Island","This bill establishes an ""Age-Appropriate Design Code"" requiring covered entities offering online services, products, or features likely to be accessed by children to use reasonable care to avoid heightened risks of harm to children, including completing data protection impact assessments, setting privacy-protective defaults, and limiting profiling, data collection, and use of precise geolocation or dark patterns targeting known children.","failed","https://legiscan.com/RI/text/H5830/2025","failed",1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"HB5291","RHODE ISLAND SOCIAL MEDIA REGULATION ACT",2025,"North America","USA","Rhode Island","This bill establishes the Rhode Island Social Media Regulation act, which would not permit a Rhode Island resident under the age of 18 to be an account holder on a social media's platform unless the minor has the express consent of a parent or guardian.","failed","https://legiscan.com/RI/text/H5291/2025","failed",1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"HB4700","South Carolina Social Media Regulation",2023,"North America","USA","South Carolina","This bill requires social media companies with at least five million account holders worldwide to verify users' ages and obtain parental consent for minor account holders, prohibits adults from direct messaging minors not already connected to them, restricts targeted advertising and data collection from minors, requires companies to filter content promoting violence, self-harm, or sexual conduct, and mandates parental supervision tools.","failed","https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:SC2023000H4700&verid=SC2023000H4700_20240131_0_A","failed",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HB4842","South Carolina Age-Appropriate Design Code Act",2023,"North America","USA","South Carolina","This bill requires companies to act in the best interests of children when designing online services likely to be accessed by minors, mandates data protection impact assessments and privacy-protective default settings, prohibits harmful profiling, unnecessary data collection, precise geolocation tracking, and dark patterns targeting children.","failed","https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:SC2023000H4842&verid=SC2023000H4842_20240116_0_I","failed",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"SB268","Age-Appropriate Code Design",2025,"North America","USA","South Carolina","This bill creates an ""Age-Appropriate Code Design"" requiring online services likely to be accessed by minors to exercise reasonable care in data use and design (limiting addictive features, targeted advertising, profiling, and precise geolocation tracking) to prevent specified harms, and requires accessible tools for minors and parents to control privacy, time spent, and recommendation settings.","pending","https://www.scstatehouse.gov/sess126_2025-2026/bills/268.htm","pending",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"HB2460","Online privacy protection for children",2023,"North America","USA","West Virginia","This bill establishes online privacy protections for children under 18, modeled on the federal Children's Online Privacy Protection Act, by requiring operators of websites or online services directed to children to provide notice of their data collection and disclosure practices and obtain verifiable parental consent before collecting personal information.","failed","https://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb2460%20intr.htm&yr=2023&sesstype=RS&i=2460","failed",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"AB1282","Mental Health: Impacts of Social Media",2023,"North America","USA","California","This bill requires a mental health services oversight and accountability commission that, in addition to other things, must create strategy to help understand, communicate and mitigate mental health issues associated with the use of social media by children and youth.","passed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1282","Enacted",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AB1394","Commercial Sexual Exploitation: Child Sexual Abuse",2023,"North America","USA","California","This bill prohibits platforms from facilitating, aiding, or abetting commercial sexual exploitation of children (under 18). It also creates an accessible way to report against believed child pornography.","passed","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1394","Enacted",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"SB287","Features that Harm Child Users: Civil Penalty",2023,"North America","USA","California","This bill prohibits a social media platform from using a design that the platform knows could cause children to experience addiction to the social media platform and requires auditing of the programs used.","failed","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB287","Failed",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"SB845","Let Parents Choose Act",2023,"North America","USA","California","This bill requires social media platforms to create a third party way of allowing parents to track their under 18 child's accounts, content, and manage their child's data.","failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB845","Failed",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"SB764","Minors: Online Platforms",2024,"North America","USA","California","This bill requires money made from vlogging (video blogging) to be set aside for minors (under 18) who appear in the vlogs. It also requires records of vlog numbers and compensation to be recorded and provided to the minor if requested.","passed","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB764","Enacted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AB1545","Children: internet safety: platform operators.",2021,"North America","USA","California","This bill enacts the Kids Internet Design and Safety Act for purposes of keeping children safe and protecting their interests on the internet. This includes imposing limitations to accessing certain content without parental permissions and require parental creation of accounts for children under 13.","failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB1545","Failed",1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"AB1138","Social media: the Parent’s Accountability and Child Protection Act.",2019,"North America","USA","California","This bill requires social media companies to either verify that an individual is over 13 or obtain parental consent before allowing that individual to create an account on their website/application.","failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1138","Failed",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB3212","The Parent’s Accountability and Child Protection Act.",2019,"North America","USA","California","This bill requires social media companies to obtain opt-in parental consent that is separate from the Terms and Conditions before selling the personal information of a minor (defined as under 16).","failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB3212","Failed",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2408","Social media platform: child users: addiction.",2021,"North America","USA","California","This bill prohibits social media companies from deploying any design, feature, or affordance that they know or should know to cause addiction to the platform for users under 18.","failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2408","Failed",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AB2486","California Privacy Rights Act of 2020: Office for the Protection of Children Online.",2021,"North America","USA","California","This bill establishes the Office for the Protection of Children Online within the California Privacy Protection Agency (CPPA) to ensure that digital media available to children (under 18) protects their rights and physical and mental well-being.","failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2486","Failed",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AB873","Pupil Instruction: media literacy: curriculum frameworks",2023,"North America","USA","California","This bill requires the Instructional Quality Commission to consider incorporating media literacy into English Language Arts/English Language Development (ELA/ELD) programs in grades 1-12. It requires the extension of this consideration to math, science, and social science in the 2024 revision of Model Library Standards.","passed","https://calmatters.digitaldemocracy.org/bills/ca_202320240ab873","Enacted",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AB787","Pupil instruction: digital citizenship and media literacy: survey.",2023,"North America","USA","California","This bill requires the Superintendent of Public Instruction to work with the state board to survey teacher librarians, principals, and technology directors to understand how they are integrating media literacy into their curriculum. This bill also requires the superintendent to share that survey with an advisory committee they'll create and work with to develop recommendations for digital citizenship, internet safety, and media literacy.","failed","https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A787&ciq=ncsl5&client_md=d17ec6fc28372953c0087bbb110d13e9&mode=current_text","Failed",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AB2876"," Pupil instruction: media literacy: artificial intelligence literacy: curriculum frameworks: instructional materials.",2023,"North America","USA","California","This bill requires the Instructional Quality Commission to consider the Model Library Standards, including media literacy content, in its criteria for evaluating instructional materials in ELA/ELD,  math, science, and the social science for grades 1-12.  Additionally, it requires the extension of this consideration to AI Literacy in the 2025 revision of Model Library Standards.","passed","https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2876&ciq=ncsl5&client_md=d0750a929e1a35419cb70e58e9e01cea&mode=current_text","Enacted",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
